"Comparison_Class","Term","Estimate","SE","Z","P_Value","OR","OR_Low","OR_High"
"Network Conservers","(Intercept)",-0.639237963892017,0.513194002118056,-1.24560684897671,0.212908766617957,0.527694393047631,0.192993608338372,1.44285282218096
"Network Conservers","female",0.355288714200007,0.260252832245863,1.36516752242051,0.172200403558954,1.42659247233415,0.856580621185214,2.37591889401429
"Network Conservers","raceAsian",-0.589549191128194,0.499719989710351,-1.17975907161511,0.238096052072203,0.554577236728405,0.20825325434291,1.47683604017487
"Network Conservers","raceBlack",-0.572080039301416,0.651126646654253,-0.878600257324732,0.379618056232884,0.564350346104158,0.157506544886682,2.02208304027633
"Network Conservers","raceHispanic/Latino",-0.321724673779311,0.391208573434417,-0.82238656212182,0.410856924890169,0.724897746214009,0.33672339308024,1.56055906202196
"Network Conservers","raceOther/International",-0.266310011772594,0.686623660200091,-0.387854405854567,0.698123780810864,0.766201559174909,0.199469809333678,2.94312623671287
"Network Conservers","parents_income_num",0.0351706564762,0.0672232240409769,0.523192051228624,0.600840612384699,1.03579645909117,0.907931028884584,1.1816693895613
"Network Conservers","mom_college",-0.0705847054145001,0.434299988123239,-0.162525229898166,0.870892261809644,0.931848803543539,0.397797307072664,2.18287599545491
"Network Conservers","z_extraversion",-0.19911349480122,0.131787266959133,-1.51087050665498,0.13082144651371,0.819456883958832,0.63291665128625,1.06097632808813
"Network Conservers","z_neuroticism",0.00559751301452251,0.143046115576518,0.039130828488162,0.968786082205992,1.0056132083618,0.759744661764371,1.33104972726396
"Network Conservers","z_agreeableness",0.0645061570501037,0.147931416891681,0.436054479876556,0.66279720272151,1.06663214553199,0.798165411797995,1.42539894245646
"Network Conservers","z_conscientiousness",-0.0594879181855893,0.139209951776487,-0.427325183483304,0.669142492552797,0.942246917574848,0.717243832001549,1.23783463038185
"Network Conservers","z_openness",0.121469274344169,0.132253761121469,0.918456105249102,0.358380129257739,1.12915467137434,0.871318151364203,1.46328900630645
"Network Conservers","z_trust",0.272020017744771,0.150961451401328,1.80191708028568,0.0715584525097603,1.31261327660568,0.976418076711138,1.76456546126727
"Accelerated Winnowers","(Intercept)",-0.362804767295783,0.472920281695413,-0.767158401401464,0.44298734231862,0.695722247976806,0.275345523906816,1.75789836515994
"Accelerated Winnowers","female",0.04022012415939,0.255482831592354,0.157427894112137,0.874907631219439,1.04103990700705,0.630951535179938,1.71766614003431
"Accelerated Winnowers","raceAsian",0.414316564187133,0.405228255152312,1.02242762916768,0.306578549271484,1.5133361190829,0.68390872317735,3.34867231796811
"Accelerated Winnowers","raceBlack",0.739761860713129,0.490181358605912,1.50915951356663,0.13125802377982,2.09543644933149,0.801721809566093,5.47677992639786
"Accelerated Winnowers","raceHispanic/Latino",-0.361339696335413,0.397045888171274,-0.910070364913442,0.362785402199157,0.696742277464139,0.319963088860886,1.51720563435672
"Accelerated Winnowers","raceOther/International",1.10511819441948,0.528906375709145,2.08944010731156,0.03666812404437,3.01958134537994,1.07085960813241,8.51453489525875
"Accelerated Winnowers","parents_income_num",-0.0090564437376491,0.0636867769348949,-0.142202890042736,0.886919749066294,0.99098444232839,0.874692811767928,1.12273720753689
"Accelerated Winnowers","mom_college",-0.00363470872455982,0.388051623482305,-0.00936655976836949,0.992526675848637,0.996371888833375,0.465698946701389,2.13175689549918
"Accelerated Winnowers","z_extraversion",-0.162032959731439,0.129191947156007,-1.25420324794529,0.20976813963999,0.850413174688457,0.660175760149536,1.09546973902812
"Accelerated Winnowers","z_neuroticism",-0.0909109133831159,0.14040868066086,-0.647473596042828,0.517325477839143,0.913099052181441,0.693425183533809,1.20236457932739
"Accelerated Winnowers","z_agreeableness",-0.117443066159761,0.138011386901895,-0.850966494838898,0.394787965071816,0.889191135371379,0.678449396113756,1.16539402901977
"Accelerated Winnowers","z_conscientiousness",-0.0935834208179439,0.136198747677638,-0.687109260647844,0.492013878928964,0.910662046084693,0.697304587195508,1.18930145793898
"Accelerated Winnowers","z_openness",0.188214084882189,0.131055174685907,1.43614386332528,0.150961408898925,1.20709190781853,0.933649613296123,1.56061851595161
"Accelerated Winnowers","z_trust",-0.143462262146844,0.139749365480322,-1.02656825420109,0.304623808831751,0.866353493891279,0.658776456351722,1.13933697712005
